"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2326","Login com senha incorreta deve exibir mensagem de senha inválida @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login com senha incorreta deve exibir mensagem de senha inválida @login @negative"
"","1589","Login sem email e sem senha deve exibir mensagem de email inválido. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login sem email e sem senha deve exibir mensagem de email inválido. @login @negative"
"","2229","Login com email válido e senha vazia deve exibir mensagem de senha inválida @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login com email válido e senha vazia deve exibir mensagem de senha inválida @login @negative"
"","2713","Login com campos preenchidos com espaços deve exibir mensagem de email inválido. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login com campos preenchidos com espaços deve exibir mensagem de email inválido. @login @negative"
"","1961","Login com senha fraca deve exibir mensagem de senha inválida. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login com senha fraca deve exibir mensagem de senha inválida. @login @negative"
"","1695","Clique em criar conta deve ser redirecionado para tela de cadastro @login @regression","","2026-03-25","passed","2026-03-25","","login:","login:","Clique em criar conta deve ser redirecionado para tela de cadastro @login @regression"
"","1838","Login apenas com senha deve exibir mensagem de email inválido. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login apenas com senha deve exibir mensagem de email inválido. @login @negative"
"","7057","Login com credenciais válidas devem ser realizada com sucesso! @login @smoke","","2026-03-25","failed","2026-03-25","","login:","login:","Login com credenciais válidas devem ser realizada com sucesso! @login @smoke"
"","3010","Login com email em formato inválido deve exibir mensagem de email inválido. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login com email em formato inválido deve exibir mensagem de email inválido. @login @negative"
"","3453","Login com email em caixa alta deve ser aceito corretamente. @login @regression","","2026-03-25","passed","2026-03-25","","login:","login:","Login com email em caixa alta deve ser aceito corretamente. @login @regression"
"","2043","Login apenas com email deve exibir erro de senha obrigatória. @login @negative","","2026-03-25","passed","2026-03-25","","login:","login:","Login apenas com email deve exibir erro de senha obrigatória. @login @negative"
